Day,S,E,I,R,D
1,8500000.0,0.0,20.0,0.0,0.0
2,8500000.0,0.0,20.0,0.0,0.0
3,8499920.0,0.0,20.0,0.0,0.0
4,8499840.0,0.0,20.0,0.0,0.0
5,8499760.0,0.0,20.0,0.0,0.0
6,8499680.0,0.0,20.0,0.0,0.0
7,8499600.0,0.0,20.0,0.0,0.0
8,8499520.0,0.0,20.0,0.0,0.0
9,8499440.0,0.0,20.0,0.0,0.0
10,8499360.0,0.0,20.0,0.0,0.0
11,8499280.0,0.0,20.0,0.0,0.0
12,8499200.0,0.0,20.0,0.0,0.0
13,8499120.0,0.0,20.0,0.0,0.0
14,8499040.0,0.0,20.0,0.0,0.0
15,8498960.0,0.0,20.0,0.0,0.0
16,8498880.0,0.0,20.0,0.0,0.0
17,8498800.0,0.0,20.0,0.0,0.0
18,8498720.0,0.0,20.0,0.0,0.0
19,8498640.0,0.0,20.0,0.0,0.0
20,8498560.0,0.0,20.0,0.0,0.0
21,8498480.0,0.0,20.0,0.0,0.0
22,8498400.0,0.0,20.0,0.0,0.0
23,8498320.0,0.0,20.0,0.0,0.0
24,8498240.0,0.0,20.0,0.0,0.0
25,8498160.0,0.0,20.0,0.0,0.0
26,8498080.0,0.0,20.0,0.0,0.0
27,8498000.0,0.0,20.0,0.0,0.0
28,8497920.0,0.0,20.0,0.0,0.0
29,8497840.0,0.0,20.0,0.0,0.0
30,8497760.0,0.0,20.0,0.0,0.0
31,8497680.0,0.0,20.0,0.0,0.0
32,8497600.0,0.0,20.0,0.0,0.0
33,8497520.0,0.0,20.0,0.0,0.0
34,8497440.0,0.0,20.0,0.0,0.0
35,8497360.0,0.0,20.0,0.0,0.0
36,8497280.0,0.0,20.0,0.0,0.0
37,8497200.0,0.0,20.0,0.0,0.0
38,8497120.0,0.0,20.0,0.0,0.0
39,8497040.0,0.0,20.0,0.0,0.0
40,8496960.0,0.0,20.0,0.0,0.0
41,8496880.0,0.0,20.0,0.0,0.0
42,8496800.0,0.0,20.0,0.0,0.0
43,8496720.0,0.0,20.0,0.0,0.0
44,8496640.0,0.0,20.0,0.0,0.0
45,8496560.0,0.0,20.0,0.0,0.0
46,8496480.0,0.0,20.0,0.0,0.0
47,8496400.0,0.0,20.0,0.0,0.0
48,8496320.0,0.0,20.0,0.0,0.0
49,8496240.0,0.0,20.0,0.0,0.0
50,8496160.0,0.0,20.0,0.0,0.0
51,8496080.0,0.0,20.0,0.0,0.0
52,8496000.0,0.0,20.0,0.0,0.0
53,8495920.0,0.0,20.0,0.0,0.0
54,8495840.0,0.0,20.0,0.0,0.0
55,8495760.0,0.0,20.0,0.0,0.0
56,8495680.0,0.0,20.0,0.0,0.0
57,8495600.0,0.0,20.0,0.0,0.0
58,8495520.0,0.0,20.0,0.0,0.0
59,8495440.0,0.0,20.0,0.0,0.0
60,8495360.0,0.0,20.0,0.0,0.0
61,8495280.0,0.0,20.0,0.0,0.0
62,8495200.0,0.0,20.0,0.0,0.0
63,8495120.0,0.0,20.0,0.0,0.0
64,8495040.0,0.0,20.0,0.0,0.0
65,8494960.0,0.0,20.0,0.0,0.0
66,8494880.0,0.0,20.0,0.0,0.0
67,8494800.0,0.0,20.0,0.0,0.0
68,8494720.0,0.0,20.0,0.0,0.0
69,8494640.0,0.0,20.0,0.0,0.0
70,8494560.0,0.0,20.0,0.0,0.0
71,8494480.0,0.0,20.0,0.0,0.0
72,8494400.0,0.0,20.0,0.0,0.0
73,8494320.0,0.0,20.0,0.0,0.0
74,8494240.0,0.0,20.0,0.0,0.0
75,8494160.0,0.0,20.0,0.0,0.0
76,8494080.0,0.0,20.0,0.0,0.0
77,8494000.0,0.0,20.0,0.0,0.0
78,8493920.0,0.0,20.0,0.0,0.0
79,8493840.0,0.0,20.0,0.0,0.0
80,8493760.0,0.0,20.0,0.0,0.0
81,8493680.0,0.0,20.0,0.0,0.0
82,8493600.0,0.0,20.0,0.0,0.0
83,8493520.0,0.0,20.0,0.0,0.0
84,8493440.0,0.0,20.0,0.0,0.0
85,8493360.0,0.0,20.0,0.0,0.0
86,8493280.0,0.0,20.0,0.0,0.0
87,8493200.0,0.0,20.0,0.0,0.0
88,8493120.0,0.0,20.0,0.0,0.0
89,8493040.0,0.0,20.0,0.0,0.0
90,8492960.0,0.0,20.0,0.0,0.0
91,8492880.0,0.0,20.0,0.0,0.0
92,8492800.0,0.0,20.0,0.0,0.0
93,8492720.0,0.0,20.0,0.0,0.0
94,8492640.0,0.0,20.0,0.0,0.0
95,8492560.0,0.0,20.0,0.0,0.0
96,8492480.0,0.0,20.0,0.0,0.0
97,8492400.0,0.0,20.0,0.0,0.0
98,8492320.0,0.0,20.0,0.0,0.0
99,8492240.0,0.0,20.0,0.0,0.0
100,8492160.0,0.0,20.0,0.0,0.0
101,8492080.0,0.0,20.0,0.0,0.0
102,8492000.0,0.0,20.0,0.0,0.0
103,8491920.0,0.0,20.0,0.0,0.0
104,8491840.0,0.0,20.0,0.0,0.0
105,8491760.0,0.0,20.0,0.0,0.0
106,8491680.0,0.0,20.0,0.0,0.0
107,8491600.0,0.0,20.0,0.0,0.0
108,8491520.0,0.0,20.0,0.0,0.0
